species,assembly_type,software,field,operator,value,severity,source,special_field
Achromobacter xylosoxidans,all,Checkm,Completeness,>=,91,fail,qualibact-v1.1,
Achromobacter xylosoxidans,all,Checkm,Completeness,>=,99,warn,qualibact-v1.1,
Achromobacter xylosoxidans,all,Checkm,Contamination,<=,10,fail,qualibact-v1.1,
Achromobacter xylosoxidans,all,Checkm,Contamination,<=,2,warn,qualibact-v1.1,
Achromobacter xylosoxidans,all,Checkm,GC,<=,69,fail,qualibact-v1.1,
Achromobacter xylosoxidans,all,Checkm,GC,<=,68,warn,qualibact-v1.1,
Achromobacter xylosoxidans,all,Checkm,GC,>=,65,fail,qualibact-v1.1,
Achromobacter xylosoxidans,all,Checkm,GC,>=,67,warn,qualibact-v1.1,
Achromobacter xylosoxidans,all,Checkm,Genome size (bp),<=,7400000,fail,qualibact-v1.1,
Achromobacter xylosoxidans,all,Checkm,Genome size (bp),<=,7000000,warn,qualibact-v1.1,
Achromobacter xylosoxidans,all,Checkm,Genome size (bp),>=,5900000,fail,qualibact-v1.1,
Achromobacter xylosoxidans,all,Checkm,Genome size (bp),>=,6000000,warn,qualibact-v1.1,
Achromobacter xylosoxidans,all,Checkm,Total_Coding_Sequences,<=,6900,fail,qualibact-v1.1,
Achromobacter xylosoxidans,all,Checkm,Total_Coding_Sequences,<=,6400,warn,qualibact-v1.1,
Achromobacter xylosoxidans,all,Checkm,Total_Coding_Sequences,>=,5300,fail,qualibact-v1.1,
Achromobacter xylosoxidans,all,Checkm,Total_Coding_Sequences,>=,5400,warn,qualibact-v1.1,
Achromobacter xylosoxidans,all,Quast,GC (%),<=,69,fail,qualibact-v1.1,
Achromobacter xylosoxidans,all,Quast,GC (%),<=,68,warn,qualibact-v1.1,
Achromobacter xylosoxidans,all,Quast,GC (%),>=,65,fail,qualibact-v1.1,
Achromobacter xylosoxidans,all,Quast,GC (%),>=,67,warn,qualibact-v1.1,
Achromobacter xylosoxidans,all,Quast,Total length (>= 0 bp),<=,7400000,fail,qualibact-v1.1,
Achromobacter xylosoxidans,all,Quast,Total length (>= 0 bp),<=,7000000,warn,qualibact-v1.1,
Achromobacter xylosoxidans,all,Quast,Total length (>= 0 bp),>=,5900000,fail,qualibact-v1.1,
Achromobacter xylosoxidans,all,Quast,Total length (>= 0 bp),>=,6000000,warn,qualibact-v1.1,
Achromobacter xylosoxidans,all,Speciator,confidence,regex,^good$,fail,qualibact-v1.1,
Achromobacter xylosoxidans,all,Speciator,genusName,regex,^Achromobacter,fail,qualibact-v1.1,
Achromobacter xylosoxidans,all,Speciator,speciesName,regex,^Achromobacter xylosoxidans,fail,qualibact-v1.1,species_field
Achromobacter xylosoxidans,all,Sylph,number_of_genomes,=,1,fail,qualibact-v1.1,
Achromobacter xylosoxidans,all,Sylph,species_name,regex,^Achromobacter xylosoxidans,fail,qualibact-v1.1,species_field
Achromobacter xylosoxidans,short,Checkm,# contigs,<=,430,fail,qualibact-v1.1,
Achromobacter xylosoxidans,short,Checkm,# contigs,<=,320,warn,qualibact-v1.1,
Achromobacter xylosoxidans,short,Checkm,N50 (scaffolds),>=,24000,fail,qualibact-v1.1,
Achromobacter xylosoxidans,short,Checkm,N50 (scaffolds),>=,33000,warn,qualibact-v1.1,
Achromobacter xylosoxidans,short,Quast,# contigs (>= 0 bp),<=,430,fail,qualibact-v1.1,
Achromobacter xylosoxidans,short,Quast,# contigs (>= 0 bp),<=,320,warn,qualibact-v1.1,
Achromobacter xylosoxidans,short,Quast,N50,>=,24000,fail,qualibact-v1.1,
Achromobacter xylosoxidans,short,Quast,N50,>=,33000,warn,qualibact-v1.1,
Acinetobacter baumannii,all,Checkm,Completeness,>=,96,fail,qualibact-v1.0,
Acinetobacter baumannii,all,Checkm,Completeness,>=,99,warn,qualibact-v1.0,
Acinetobacter baumannii,all,Checkm,Contamination,<=,7,fail,qualibact-v1.0,
Acinetobacter baumannii,all,Checkm,Contamination,<=,1,warn,qualibact-v1.0,
Acinetobacter baumannii,all,Checkm,GC,<=,39.75,fail,qualibact-v1.0,
Acinetobacter baumannii,all,Checkm,GC,<=,39.17,warn,qualibact-v1.0,
Acinetobacter baumannii,all,Checkm,GC,>=,38.68,fail,qualibact-v1.0,
Acinetobacter baumannii,all,Checkm,GC,>=,38.8,warn,qualibact-v1.0,
Acinetobacter baumannii,all,Checkm,Genome size (bp),<=,4700000,fail,qualibact-v1.0,
Acinetobacter baumannii,all,Checkm,Genome size (bp),<=,4200000,warn,qualibact-v1.0,
Acinetobacter baumannii,all,Checkm,Genome size (bp),>=,3600000,fail,qualibact-v1.0,
Acinetobacter baumannii,all,Checkm,Genome size (bp),>=,3700000,warn,qualibact-v1.0,
Acinetobacter baumannii,all,Checkm,Total_Coding_Sequences,<=,4600,fail,qualibact-v1.0,
Acinetobacter baumannii,all,Checkm,Total_Coding_Sequences,<=,4100,warn,qualibact-v1.0,
Acinetobacter baumannii,all,Checkm,Total_Coding_Sequences,>=,3400,fail,qualibact-v1.0,
Acinetobacter baumannii,all,Checkm,Total_Coding_Sequences,>=,3500,warn,qualibact-v1.0,
Acinetobacter baumannii,all,Quast,GC (%),<=,39.75,fail,qualibact-v1.0,
Acinetobacter baumannii,all,Quast,GC (%),<=,39.17,warn,qualibact-v1.0,
Acinetobacter baumannii,all,Quast,GC (%),>=,38.68,fail,qualibact-v1.0,
Acinetobacter baumannii,all,Quast,GC (%),>=,38.8,warn,qualibact-v1.0,
Acinetobacter baumannii,all,Quast,Ns per 100 kbp,<=,1000,fail,custom,
Acinetobacter baumannii,all,Quast,Total length (>= 0 bp),<=,4700000,fail,qualibact-v1.0,
Acinetobacter baumannii,all,Quast,Total length (>= 0 bp),<=,4200000,warn,qualibact-v1.0,
Acinetobacter baumannii,all,Quast,Total length (>= 0 bp),>=,3600000,fail,qualibact-v1.0,
Acinetobacter baumannii,all,Quast,Total length (>= 0 bp),>=,3700000,warn,qualibact-v1.0,
Acinetobacter baumannii,all,Speciator,confidence,regex,^good$,fail,qualibact-v1.0,
Acinetobacter baumannii,all,Speciator,genusName,regex,^Acinetobacter,fail,qualibact-v1.0,
Acinetobacter baumannii,all,Speciator,speciesName,regex,^Acinetobacter baumannii,fail,qualibact-v1.0,species_field
Acinetobacter baumannii,all,Sylph,number_of_genomes,=,1,fail,qualibact-v1.0,
Acinetobacter baumannii,all,Sylph,species_name,regex,^Acinetobacter baumannii,fail,qualibact-v1.0,species_field
Acinetobacter baumannii,short,Ariba,percent,=,100,fail,custom,
Acinetobacter baumannii,short,Checkm,# contigs,<=,380,fail,qualibact-v1.0,
Acinetobacter baumannii,short,Checkm,# contigs,<=,270,warn,qualibact-v1.0,
Acinetobacter baumannii,short,Checkm,N50 (scaffolds),>=,24000,fail,qualibact-v1.0,
Acinetobacter baumannii,short,Checkm,N50 (scaffolds),>=,36000,warn,qualibact-v1.0,
Acinetobacter baumannii,short,Quast,# contigs (>= 0 bp),<=,380,fail,qualibact-v1.0,
Acinetobacter baumannii,short,Quast,# contigs (>= 0 bp),<=,270,warn,qualibact-v1.0,
Acinetobacter baumannii,short,Quast,N50,>=,24000,fail,qualibact-v1.0,
Acinetobacter baumannii,short,Quast,N50,>=,36000,warn,qualibact-v1.0,
Acinetobacter baylyi,all,Checkm,Completeness,>=,98,fail,qualibact-v1.0,
Acinetobacter baylyi,all,Checkm,Completeness,>=,99,warn,qualibact-v1.0,
Acinetobacter baylyi,all,Checkm,Contamination,<=,1,fail,qualibact-v1.0,
Acinetobacter baylyi,all,Checkm,Contamination,<=,1,warn,qualibact-v1.0,
Acinetobacter baylyi,all,Checkm,GC,<=,40.59,fail,qualibact-v1.0,
Acinetobacter baylyi,all,Checkm,GC,<=,40.44,warn,qualibact-v1.0,
Acinetobacter baylyi,all,Checkm,GC,>=,40.13,fail,qualibact-v1.0,
Acinetobacter baylyi,all,Checkm,GC,>=,40.31,warn,qualibact-v1.0,
Acinetobacter baylyi,all,Checkm,Genome size (bp),<=,3900000,fail,qualibact-v1.0,
Acinetobacter baylyi,all,Checkm,Genome size (bp),<=,3700000,warn,qualibact-v1.0,
Acinetobacter baylyi,all,Checkm,Genome size (bp),>=,3200000,fail,qualibact-v1.0,
Acinetobacter baylyi,all,Checkm,Genome size (bp),>=,3200000,warn,qualibact-v1.0,
Acinetobacter baylyi,all,Checkm,Total_Coding_Sequences,<=,3700,fail,qualibact-v1.0,
Acinetobacter baylyi,all,Checkm,Total_Coding_Sequences,<=,3400,warn,qualibact-v1.0,
Acinetobacter baylyi,all,Checkm,Total_Coding_Sequences,>=,3000,fail,qualibact-v1.0,
Acinetobacter baylyi,all,Checkm,Total_Coding_Sequences,>=,3000,warn,qualibact-v1.0,
Acinetobacter baylyi,all,Quast,GC (%),<=,40.59,fail,qualibact-v1.0,
Acinetobacter baylyi,all,Quast,GC (%),<=,40.44,warn,qualibact-v1.0,
Acinetobacter baylyi,all,Quast,GC (%),>=,40.13,fail,qualibact-v1.0,
Acinetobacter baylyi,all,Quast,GC (%),>=,40.31,warn,qualibact-v1.0,
Acinetobacter baylyi,all,Quast,Total length (>= 0 bp),<=,3900000,fail,qualibact-v1.0,
Acinetobacter baylyi,all,Quast,Total length (>= 0 bp),<=,3700000,warn,qualibact-v1.0,
Acinetobacter baylyi,all,Quast,Total length (>= 0 bp),>=,3200000,fail,qualibact-v1.0,
Acinetobacter baylyi,all,Quast,Total length (>= 0 bp),>=,3200000,warn,qualibact-v1.0,
Acinetobacter baylyi,all,Speciator,confidence,regex,^good$,fail,qualibact-v1.0,
Acinetobacter baylyi,all,Speciator,genusName,regex,^Acinetobacter,fail,qualibact-v1.0,
Acinetobacter baylyi,all,Speciator,speciesName,regex,^Acinetobacter baylyi,fail,qualibact-v1.0,species_field
Acinetobacter baylyi,all,Sylph,number_of_genomes,=,1,fail,qualibact-v1.0,
Acinetobacter baylyi,all,Sylph,species_name,regex,^Acinetobacter baylyi,fail,qualibact-v1.0,species_field
Acinetobacter baylyi,short,Checkm,# contigs,<=,370,fail,qualibact-v1.0,
Acinetobacter baylyi,short,Checkm,# contigs,<=,210,warn,qualibact-v1.0,
Acinetobacter baylyi,short,Checkm,N50 (scaffolds),>=,20000,fail,qualibact-v1.0,
Acinetobacter baylyi,short,Checkm,N50 (scaffolds),>=,39000,warn,qualibact-v1.0,
Acinetobacter baylyi,short,Quast,# contigs (>= 0 bp),<=,370,fail,qualibact-v1.0,
Acinetobacter baylyi,short,Quast,# contigs (>= 0 bp),<=,210,warn,qualibact-v1.0,
Acinetobacter baylyi,short,Quast,N50,>=,20000,fail,qualibact-v1.0,
Acinetobacter baylyi,short,Quast,N50,>=,39000,warn,qualibact-v1.0,
Acinetobacter johnsonii,all,Checkm,Completeness,>=,86,fail,qualibact-v1.0,
Acinetobacter johnsonii,all,Checkm,Completeness,>=,100,warn,qualibact-v1.0,
Acinetobacter johnsonii,all,Checkm,Contamination,<=,9,fail,qualibact-v1.0,
Acinetobacter johnsonii,all,Checkm,Contamination,<=,2,warn,qualibact-v1.0,
Acinetobacter johnsonii,all,Checkm,GC,<=,41.68,fail,qualibact-v1.0,
Acinetobacter johnsonii,all,Checkm,GC,<=,41.52,warn,qualibact-v1.0,
Acinetobacter johnsonii,all,Checkm,GC,>=,40.99,fail,qualibact-v1.0,
Acinetobacter johnsonii,all,Checkm,GC,>=,41.07,warn,qualibact-v1.0,
Acinetobacter johnsonii,all,Checkm,Genome size (bp),<=,4200000,fail,qualibact-v1.0,
Acinetobacter johnsonii,all,Checkm,Genome size (bp),<=,4000000,warn,qualibact-v1.0,
Acinetobacter johnsonii,all,Checkm,Genome size (bp),>=,3300000,fail,qualibact-v1.0,
Acinetobacter johnsonii,all,Checkm,Genome size (bp),>=,3300000,warn,qualibact-v1.0,
Acinetobacter johnsonii,all,Checkm,Total_Coding_Sequences,<=,4300,fail,qualibact-v1.0,
Acinetobacter johnsonii,all,Checkm,Total_Coding_Sequences,<=,3900,warn,qualibact-v1.0,
Acinetobacter johnsonii,all,Checkm,Total_Coding_Sequences,>=,3200,fail,qualibact-v1.0,
Acinetobacter johnsonii,all,Checkm,Total_Coding_Sequences,>=,3200,warn,qualibact-v1.0,
Acinetobacter johnsonii,all,Quast,GC (%),<=,41.68,fail,qualibact-v1.0,
Acinetobacter johnsonii,all,Quast,GC (%),<=,41.52,warn,qualibact-v1.0,
Acinetobacter johnsonii,all,Quast,GC (%),>=,40.99,fail,qualibact-v1.0,
Acinetobacter johnsonii,all,Quast,GC (%),>=,41.07,warn,qualibact-v1.0,
Acinetobacter johnsonii,all,Quast,Total length (>= 0 bp),<=,4200000,fail,qualibact-v1.0,
Acinetobacter johnsonii,all,Quast,Total length (>= 0 bp),<=,4000000,warn,qualibact-v1.0,
Acinetobacter johnsonii,all,Quast,Total length (>= 0 bp),>=,3300000,fail,qualibact-v1.0,
Acinetobacter johnsonii,all,Quast,Total length (>= 0 bp),>=,3300000,warn,qualibact-v1.0,
Acinetobacter johnsonii,all,Speciator,confidence,regex,^good$,fail,qualibact-v1.0,
Acinetobacter johnsonii,all,Speciator,genusName,regex,^Acinetobacter,fail,qualibact-v1.0,
Acinetobacter johnsonii,all,Speciator,speciesName,regex,^Acinetobacter johnsonii,fail,qualibact-v1.0,species_field
Acinetobacter johnsonii,all,Sylph,number_of_genomes,=,1,fail,qualibact-v1.0,
Acinetobacter johnsonii,all,Sylph,species_name,regex,^Acinetobacter johnsonii,fail,qualibact-v1.0,species_field
Acinetobacter johnsonii,short,Checkm,# contigs,<=,470,fail,qualibact-v1.0,
Acinetobacter johnsonii,short,Checkm,# contigs,<=,450,warn,qualibact-v1.0,
Acinetobacter johnsonii,short,Checkm,N50 (scaffolds),>=,30000,fail,qualibact-v1.0,
Acinetobacter johnsonii,short,Checkm,N50 (scaffolds),>=,32000,warn,qualibact-v1.0,
Acinetobacter johnsonii,short,Quast,# contigs (>= 0 bp),<=,470,fail,qualibact-v1.0,
Acinetobacter johnsonii,short,Quast,# contigs (>= 0 bp),<=,450,warn,qualibact-v1.0,
Acinetobacter johnsonii,short,Quast,N50,>=,30000,fail,qualibact-v1.0,
Acinetobacter johnsonii,short,Quast,N50,>=,32000,warn,qualibact-v1.0,
Acinetobacter nosocomialis,all,Checkm,Completeness,>=,89,fail,qualibact-v1.0,
Acinetobacter nosocomialis,all,Checkm,Completeness,>=,99,warn,qualibact-v1.0,
Acinetobacter nosocomialis,all,Checkm,Contamination,<=,9,fail,qualibact-v1.0,
Acinetobacter nosocomialis,all,Checkm,Contamination,<=,1,warn,qualibact-v1.0,
Acinetobacter nosocomialis,all,Checkm,GC,<=,39.03,fail,qualibact-v1.0,
Acinetobacter nosocomialis,all,Checkm,GC,<=,38.9,warn,qualibact-v1.0,
Acinetobacter nosocomialis,all,Checkm,GC,>=,38.53,fail,qualibact-v1.0,
Acinetobacter nosocomialis,all,Checkm,GC,>=,38.6,warn,qualibact-v1.0,
Acinetobacter nosocomialis,all,Checkm,Genome size (bp),<=,4500000,fail,qualibact-v1.0,
Acinetobacter nosocomialis,all,Checkm,Genome size (bp),<=,4400000,warn,qualibact-v1.0,
Acinetobacter nosocomialis,all,Checkm,Genome size (bp),>=,3700000,fail,qualibact-v1.0,
Acinetobacter nosocomialis,all,Checkm,Genome size (bp),>=,3800000,warn,qualibact-v1.0,
Acinetobacter nosocomialis,all,Checkm,Total_Coding_Sequences,<=,4300,fail,qualibact-v1.0,
Acinetobacter nosocomialis,all,Checkm,Total_Coding_Sequences,<=,4200,warn,qualibact-v1.0,
Acinetobacter nosocomialis,all,Checkm,Total_Coding_Sequences,>=,3500,fail,qualibact-v1.0,
Acinetobacter nosocomialis,all,Checkm,Total_Coding_Sequences,>=,3500,warn,qualibact-v1.0,
Acinetobacter nosocomialis,all,Quast,GC (%),<=,39.03,fail,qualibact-v1.0,
Acinetobacter nosocomialis,all,Quast,GC (%),<=,38.9,warn,qualibact-v1.0,
Acinetobacter nosocomialis,all,Quast,GC (%),>=,38.53,fail,qualibact-v1.0,
Acinetobacter nosocomialis,all,Quast,GC (%),>=,38.6,warn,qualibact-v1.0,
Acinetobacter nosocomialis,all,Quast,Total length (>= 0 bp),<=,4500000,fail,qualibact-v1.0,
Acinetobacter nosocomialis,all,Quast,Total length (>= 0 bp),<=,4400000,warn,qualibact-v1.0,
Acinetobacter nosocomialis,all,Quast,Total length (>= 0 bp),>=,3700000,fail,qualibact-v1.0,
Acinetobacter nosocomialis,all,Quast,Total length (>= 0 bp),>=,3800000,warn,qualibact-v1.0,
Acinetobacter nosocomialis,all,Speciator,confidence,regex,^good$,fail,qualibact-v1.0,
Acinetobacter nosocomialis,all,Speciator,genusName,regex,^Acinetobacter,fail,qualibact-v1.0,
Acinetobacter nosocomialis,all,Speciator,speciesName,regex,^Acinetobacter nosocomialis,fail,qualibact-v1.0,species_field
Acinetobacter nosocomialis,all,Sylph,number_of_genomes,=,1,fail,qualibact-v1.0,
Acinetobacter nosocomialis,all,Sylph,species_name,regex,^Acinetobacter nosocomialis,fail,qualibact-v1.0,species_field
Acinetobacter nosocomialis,short,Checkm,# contigs,<=,430,fail,qualibact-v1.0,
Acinetobacter nosocomialis,short,Checkm,# contigs,<=,290,warn,qualibact-v1.0,
Acinetobacter nosocomialis,short,Checkm,N50 (scaffolds),>=,20000,fail,qualibact-v1.0,
Acinetobacter nosocomialis,short,Checkm,N50 (scaffolds),>=,29000,warn,qualibact-v1.0,
Acinetobacter nosocomialis,short,Quast,# contigs (>= 0 bp),<=,430,fail,qualibact-v1.0,
Acinetobacter nosocomialis,short,Quast,# contigs (>= 0 bp),<=,290,warn,qualibact-v1.0,
Acinetobacter nosocomialis,short,Quast,N50,>=,20000,fail,qualibact-v1.0,
Acinetobacter nosocomialis,short,Quast,N50,>=,29000,warn,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Completeness,>=,97,fail,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Completeness,>=,99,warn,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Contamination,<=,2,fail,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Contamination,<=,1,warn,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,GC,<=,39.18,fail,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,GC,<=,38.91,warn,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,GC,>=,38.47,fail,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,GC,>=,38.56,warn,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Genome size (bp),<=,4500000,fail,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Genome size (bp),<=,4300000,warn,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Genome size (bp),>=,3600000,fail,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Genome size (bp),>=,3700000,warn,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Total_Coding_Sequences,<=,4400,fail,qualibact-v1.0,
Acinetobacter pittii,all,Checkm,Total_Coding_Sequences,<=,4100,warn,qualibact-v1.0,
