sample_id,qualibact_tier,qualibact_species_sylph,qualibact_reasons,qualibact_N50,qualibact_contigs,qualibact_genome_size,qualibact_gc_content,qualibact_completeness_specific,qualibact_contamination,run_accession
SAMN42766885,PASS,Escherichia coli,none,120461.0,184.0,5043262.0,50.4198,100.0,0.21,SRR29932404
SAMN42766886,PASS,Escherichia coli,none,172285.0,159.0,5269811.0,50.6951,100.0,0.5,SRR29932409
SAMN42766887,PASS,Escherichia coli,none,123055.0,154.0,5057626.0,50.2734,100.0,1.06,SRR29932390
SAMN42766888,PASS,Escherichia coli,none,210405.0,145.0,5121815.0,50.3694,100.0,0.34,SRR29932363
SAMN42766889,PASS,Escherichia coli,none,280196.0,71.0,4725889.0,50.6336,100.0,0.24,SRR29932396
SAMN42766890,PASS,Escherichia coli,none,269420.0,93.0,5130009.0,50.4032,100.0,0.72,SRR29932393
SAMN42766884,PASS,Escherichia coli,none,102449.0,135.0,4850843.0,50.4715,100.0,0.1,SRR29932371
SAMN42765983,PASS,Escherichia coli,none,185085.0,154.0,5023858.0,50.6675,100.0,0.08,SRR29931553
SAMN42765984,PASS,Escherichia coli,none,104197.0,463.0,5476493.0,50.274,100.0,0.37,SRR29931554
SAMN42765985,PASS,Escherichia coli,none,124127.0,402.0,5241634.0,50.4797,100.0,0.09,SRR29931400
SAMN42765986,PASS,Escherichia coli,none,126235.0,407.0,5308166.0,50.5907,100.0,0.42,SRR29931398
SAMD00000699,PASS,Escherichia coli,none,44485.0,379.0,5024028.0,50.6039,100.0,0.19,DRR015803
SAMD00000724,PASS,Escherichia coli,none,94105.0,202.0,4932412.0,50.6577,100.0,0.13,DRR016013
SAMN42765271,PASS,Escherichia coli,none,162699.0,107.0,4828176.0,50.5923,100.0,0.01,SRR29931330
SAMN42764705,PASS,Escherichia coli,none,141363.0,358.0,5344105.0,50.5117,100.0,0.19,SRR29931311
SAMN42764707,PASS,Escherichia coli,none,135053.0,431.0,5389851.0,50.6129,100.0,0.32,SRR29931320
SAMN42764708,PASS,Escherichia coli,none,120536.0,584.0,5544797.0,50.4313,100.0,0.35,SRR29931319
SAMN42764694,PASS,Escherichia coli,none,101161.0,503.0,5571440.0,50.4443,100.0,0.23,SRR29931306
SAMN42764697,PASS,Escherichia coli,none,188268.0,155.0,4955082.0,50.6543,100.0,0.59,SRR29931322
SAMN42764699,PASS,Escherichia coli,none,230306.0,152.0,4950340.0,50.6581,100.0,0.62,SRR29931317
SAMN42764700,PASS,Escherichia coli,none,240889.0,205.0,5331484.0,50.6328,100.0,0.2,SRR29931316
SAMN42764701,PASS,Escherichia coli,none,114117.0,283.0,5493429.0,50.2507,100.0,0.46,SRR29931315
SAMN42764702,PASS,Escherichia coli,none,259403.0,109.0,4825599.0,50.6445,100.0,0.79,SRR29931314
SAMN42764703,PASS,Escherichia coli,none,130515.0,300.0,5496069.0,50.2517,100.0,0.44,SRR29931313
SAMN42764691,PASS,Escherichia coli,none,145267.0,457.0,5439909.0,50.5275,100.0,0.25,SRR29931276
SAMN42764692,PASS,Escherichia coli,none,99677.0,459.0,5273829.0,50.4885,100.0,0.16,SRR29931331
SAMN42764595,PASS,Escherichia coli,none,135589.0,451.0,5493683.0,50.5744,100.0,0.31,SRR29931279
SAMN42764596,PASS,Escherichia coli,none,135589.0,436.0,5626770.0,50.4753,100.0,0.32,SRR29931286
SAMN42764594,PASS,Escherichia coli,none,135589.0,440.0,5425440.0,50.6388,100.0,0.33,SRR29931284
SAMD00003398,PASS,Escherichia coli,none,51934.0,561.0,5396831.0,50.2768,100.0,0.45,DRR015807
SAMN42764349,PASS,Escherichia coli,none,118054.0,483.0,5524219.0,50.5131,100.0,0.31,SRR29930734
SAMN42764350,PASS,Escherichia coli,none,182288.0,427.0,5590938.0,50.5977,100.0,0.42,SRR29930844
SAMN42764352,PASS,Escherichia coli,none,32673.0,543.0,4540293.0,50.4002,100.0,0.2,SRR29931153
SAMN42764354,PASS,Escherichia coli,none,25362.0,512.0,4499145.0,50.8368,100.0,0.0,SRR29931155
SAMN42764356,PASS,Escherichia coli,none,33705.0,557.0,4632630.0,50.5207,100.0,0.49,SRR29931294
SAMN42764205,PASS,Escherichia coli,none,145048.0,169.0,5469030.0,50.613,100.0,0.69,SRR29930907
SAMN42764206,PASS,Escherichia coli,none,94018.0,259.0,5473346.0,50.4669,100.0,0.83,SRR29930906
SAMD00008661,PASS,Escherichia coli,none,28382.0,502.0,4742258.0,50.7625,100.0,0.45,DRR016068
SAMN42744646,PASS,Escherichia coli,none,131769.0,231.0,5102497.0,50.3371,100.0,0.4,SRR29922291
SAMN42744647,PASS,Escherichia coli,none,137568.0,134.0,4758218.0,50.6287,100.0,0.03,SRR29922292
SAMN42744430,PASS,Escherichia coli,none,271924.0,71.0,5040987.0,50.8021,100.0,0.08,SRR29922125
SAMN42744421,PASS,Escherichia coli,none,260884.0,72.0,5035569.0,50.8185,100.0,0.08,SRR29922135
SAMN42744422,PASS,Escherichia coli,none,202135.0,131.0,5365334.0,50.6861,100.0,0.44,SRR29922133
SAMN42744423,PASS,Escherichia coli,none,293327.0,121.0,5247371.0,50.7124,100.0,0.05,SRR29922132
