sample_id,Checkm.# contigs.check,Checkm.Completeness.check,Checkm.Contamination.check,Checkm.GC.check,Checkm.Genome size (bp).check,Checkm.N50 (scaffolds).check,Checkm.Total_Coding_Sequences.check,Quast.# contigs (>= 0 bp).check,Quast.GC (%).check,Quast.N50.check,Quast.Ns per 100 kbp.check,Quast.Total length (>= 0 bp).check,Speciator.confidence.check,Speciator.genusName.check,Speciator.speciesName.check,Sylph.number_of_genomes.check,Sylph.sequence_abundances.check,Sylph.species_name.check,Checkm.# contigs,Checkm.Completeness,Checkm.Contamination,Checkm.Contig_N50,Checkm.GC,Checkm.GC_Content,Checkm.Genome size (bp),Checkm.Genome_Size,Checkm.N50 (scaffolds),Checkm.Total_Coding_Sequences,Checkm.Total_Contigs,Checkm.all_checks_passed,Depth.Depth,Depth.Read_type,Depth.all_checks_passed,Quast.# contigs,Quast.# contigs (>= 0 bp),Quast.GC (%),Quast.Largest contig,Quast.N50,Quast.Total length,Quast.Total length (>= 0 bp),Quast.all_checks_passed,Speciator.all_checks_passed,Speciator.confidence,Speciator.speciesName,Sylph.all_checks_passed,Sylph.genomes,Sylph.number_of_genomes,Sylph.species_name,Sylph.taxonomic_abundances,Sylph.top_adjusted_ani,Sylph.top_species,Sylph.top_taxonomic_abundance,all_checks_passed,qualibact_N50,qualibact_completeness_specific,qualibact_contamination,qualibact_contigs,qualibact_gc_content,qualibact_genome_size,qualibact_reasons,qualibact_species_sylph,qualibact_tier,speccheck_assembly_type,speccheck_baseline_checks_passed,speccheck_baseline_overridden_count,speccheck_criteria_file,speccheck_criteria_sha256,speccheck_fail_on_not_evaluated,speccheck_failure_count,speccheck_failure_reasons,speccheck_input_file_count,speccheck_not_evaluated_count,speccheck_overall_status,speccheck_species_checks_available,speccheck_species_checks_passed,speccheck_threshold_fallback_used,speccheck_threshold_scheme,speccheck_threshold_source,speccheck_version,speccheck_warning_count,speccheck_warning_reasons,qualibact_compat_tier,qualibact_compat_passed,qualibact_compat_reasons,qualibact_compat_warn_policy,qualibact_compat_source,qualibact_compat_metrics_evaluated,qualibact_compat_metrics_missing,overall_qc,baseline_qc,species,species_confidence,threshold_source,reason_summary
SAMN42764706,PASSED,PASSED,PASSED,FAILED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,304,100.0,0.33,112461,50.0,50.0,5575799,5575799,112461,5677,304,FAILED,48.91,short,PASSED,304,304,50.38,288131,112461,5575799,5575799,PASSED,PASSED,good,Escherichia coli,PASSED,GCF_003697165.2,1,Escherichia coli,100.0,97.41,Escherichia coli,100.0,FAILED,114262.0,100.0,0.31,665.0,50.4387,5695351.0,no_of_contigs >600.0; Total_Coding_Sequences >5800.0,Escherichia coli,WARN,short,True,9,/gpfs3/well/aanensen/users/rva470/speccheck/speccheck/config/criteria.csv,6b21d56411908a87ca67636a2ee6c7712040ce5da009204f4dd3fc0762b64b0e,False,1,Checkm.GC >=50.09 (qualibact-v1.0),5,0,FAIL,True,False,True,qualibact-v1.0,QualiBact Escherichia coli qualibact-v1.0,1.3.0,1,Checkm.GC >=50.25 (qualibact-v1.0),PASS,PASSED,none,warn-as-warn,Pinned QualiBact scheme for Escherichia coli,8,0,PASS,True,Escherichia coli,good,QualiBact Escherichia coli qualibact-v1.0,Checkm.GC
SAMN42765982,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,302,100.0,0.38,126621,51.0,51.0,5625334,5625334,126621,5715,302,PASSED,67.1,short,PASSED,302,302,50.51,312337,126621,5625334,5625334,PASSED,PASSED,good,Escherichia coli,PASSED,GCF_003697165.2,1,Escherichia coli,100.0,97.38,Escherichia coli,100.0,PASSED,126621.0,100.0,0.4,679.0,50.5585,5738641.0,no_of_contigs >670.0; Total_Coding_Sequences >5800.0; Genome_Size >5700000.0,Escherichia coli,FAIL,short,True,9,/gpfs3/well/aanensen/users/rva470/speccheck/speccheck/config/criteria.csv,6b21d56411908a87ca67636a2ee6c7712040ce5da009204f4dd3fc0762b64b0e,False,0,none,5,0,WARN,True,True,True,qualibact-v1.0,QualiBact Escherichia coli qualibact-v1.0,1.3.0,1,Checkm.GC <=50.88 (qualibact-v1.0),PASS,PASSED,none,warn-as-warn,Pinned QualiBact scheme for Escherichia coli,8,0,PASS,True,Escherichia coli,good,QualiBact Escherichia coli qualibact-v1.0,none
SAMN42766885,PASSED,PASSED,PASSED,FAILED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,121,100.0,0.21,119508,50.0,50.0,5023793,5023793,119508,4800,121,FAILED,47.74,short,PASSED,121,121,50.41,684542,119508,5023793,5023793,PASSED,PASSED,good,Escherichia coli,PASSED,GCF_003697165.2,1,Escherichia coli,100.0,97.25,Escherichia coli,100.0,FAILED,120461.0,100.0,0.21,184.0,50.4198,5043262.0,none,Escherichia coli,PASS,short,True,9,/gpfs3/well/aanensen/users/rva470/speccheck/speccheck/config/criteria.csv,6b21d56411908a87ca67636a2ee6c7712040ce5da009204f4dd3fc0762b64b0e,False,1,Checkm.GC >=50.09 (qualibact-v1.0),5,0,FAIL,True,False,True,qualibact-v1.0,QualiBact Escherichia coli qualibact-v1.0,1.3.0,1,Checkm.GC >=50.25 (qualibact-v1.0),PASS,PASSED,none,warn-as-warn,Pinned QualiBact scheme for Escherichia coli,8,0,PASS,True,Escherichia coli,good,QualiBact Escherichia coli qualibact-v1.0,Checkm.GC
