sample_id,overall_qc,all_checks_passed,baseline_qc,qualibact_tier,qualibact_compat_tier,species,species_confidence,n50,contigs,genome_size,gc_percent,completeness,contamination,depth,top_species,top_abundance,reason_summary,threshold_source
SAMD00000699,PASS,PASSED,True,PASS,PASS,Escherichia coli,good,42440,311,4991825,50.6,100.0,0.17,224.42,Escherichia coli,100.0,none,QualiBact Escherichia coli qualibact-v1.1
SAMD00000724,PASS,PASSED,True,PASS,PASS,Escherichia coli,good,85526,134,4923986,50.65,100.0,0.13,555.44,Escherichia coli,100.0,none,QualiBact Escherichia coli qualibact-v1.1
SAMD00003398,PASS,PASSED,True,PASS,PASS,Escherichia coli,good,55862,345,5341424,50.25,100.0,0.41,141.27,Escherichia coli,100.0,none,QualiBact Escherichia coli qualibact-v1.1
SAMD00008661,PASS,PASSED,True,PASS,PASS,Escherichia coli,good,28634,392,4707333,50.77,100.0,0.35,203.81,Escherichia coli,100.0,none,QualiBact Escherichia coli qualibact-v1.1
SAMD00019005,FAIL,FAILED,False,FAIL,FAIL,Unidentified,,5377,1,5377,56.82,6.3,0.0,15391.42,Escherichia coli,100.0,N50 <20000.0; GC_Content >50.88; Genome_Size <4400000.0,QualiBact Escherichia coli qualibact-v1.1
SAMD00019007,FAIL,FAILED,False,FAIL,FAIL,Unidentified,,2909,11,22526,51.43,4.75,0.02,4880.42,Escherichia coli,100.0,N50 <20000.0; GC_Content >50.88; Genome_Size <4400000.0,QualiBact Escherichia coli qualibact-v1.1
SAMD00019012,FAIL,FAILED,False,FAIL,FAIL,Unidentified,,1571,164,236815,50.46,7.21,0.04,440.54,Escherichia coli,100.0,N50 <20000.0; Genome_Size <4400000.0,QualiBact Escherichia coli qualibact-v1.1
SAMD00062394,WARN,PASSED,True,FAIL,WARN,Escherichia coli,good,112151,213,5865761,50.06,100.0,1.17,25.89,Escherichia coli,100.0,GC_Content <50.25; Genome_Size >5700000.0,QualiBact Escherichia coli qualibact-v1.1
SAMD00071305,WARN,PASSED,True,FAIL,WARN,Escherichia coli,good,23419,353,4406998,51.23,100.0,0.01,37.19,Escherichia coli,100.0,GC_Content >50.88,QualiBact Escherichia coli qualibact-v1.1
SAMN42689957,FAIL,FAILED,True,FAIL,FAIL,Escherichia coli,good,9019,1033,5177536,50.35,100.0,3.12,46.28,Escherichia coli,100.0,N50 <20000.0; no_of_contigs >670.0,QualiBact Escherichia coli qualibact-v1.1
SAMN42720371,PASS,PASSED,True,FAIL,PASS,Escherichia coli,good,26247,546,4825099,50.58,99.98,0.41,23.45,Escherichia coli,100.0,none,QualiBact Escherichia coli qualibact-v1.1
SAMN42744342,WARN,FAILED,True,FAIL,WARN,Escherichia coli,good,57220,550,6288281,49.98,100.0,7.76,236.87,Escherichia coli,100.0,GC_Content <50.25; Genome_Size >5700000.0; Total_Coding_Sequences >5800.0,QualiBact Escherichia coli qualibact-v1.1
SAMN42744370,PASS,PASSED,True,PASS,PASS,Escherichia coli,good,252309,50,4772358,50.8,100.0,0.1,96.8,Escherichia coli,100.0,none,QualiBact Escherichia coli qualibact-v1.1
