species,assembly_type,software,field,operator,value,special_field
Acinetobacter baumannii,all,Checkm,Completeness,>=,96,
Acinetobacter baumannii,all,Checkm,Contamination,<=,7,
Acinetobacter baumannii,all,Checkm,GC,<=,39.75,
Acinetobacter baumannii,all,Checkm,GC,>=,38.68,
Acinetobacter baumannii,all,Checkm,Genome size (bp),<=,4700000,
Acinetobacter baumannii,all,Checkm,Genome size (bp),>=,3600000,
Acinetobacter baumannii,all,Checkm,Marker lineage,regex,^Acinetobacter baumannii,species_field
Acinetobacter baumannii,all,Quast,GC (%),<=,39.75,
Acinetobacter baumannii,all,Quast,GC (%),>=,38.68,
Acinetobacter baumannii,all,Quast,Ns per 100 kbp,<=,1000,
Acinetobacter baumannii,all,Quast,Total length (>= 0 bp),<=,4700000,
Acinetobacter baumannii,all,Quast,Total length (>= 0 bp),>=,3600000,
Acinetobacter baumannii,all,Speciator,confidence,regex,^good$,
Acinetobacter baumannii,all,Speciator,genusName,regex,^Acinetobacter,
Acinetobacter baumannii,all,Speciator,speciesName,regex,^Acinetobacter baumannii,species_field
Acinetobacter baumannii,all,Sylph,number_of_genomes,=,1,
Acinetobacter baumannii,all,Sylph,species_name,regex,^Acinetobacter baumannii,species_field
Acinetobacter baumannii,short,Ariba,percent,=,100,
Acinetobacter baumannii,short,Checkm,# contigs,<=,380,
Acinetobacter baumannii,short,Checkm,N50 (scaffolds),>=,24000,
Acinetobacter baumannii,short,Quast,# contigs (>= 0 bp),<=,380,
Acinetobacter baumannii,short,Quast,N50,>=,24000,
Bacillus anthracis,all,Checkm,Completeness,>=,94,
Bacillus anthracis,all,Checkm,Contamination,<=,5,
Bacillus anthracis,all,Checkm,GC,<=,35.49,
Bacillus anthracis,all,Checkm,GC,>=,35.04,
Bacillus anthracis,all,Checkm,Genome size (bp),<=,5800000,
Bacillus anthracis,all,Checkm,Genome size (bp),>=,5100000,
Bacillus anthracis,all,Checkm,Marker lineage,regex,^Bacillus anthracis,species_field
Bacillus anthracis,all,Quast,GC (%),<=,35.49,
Bacillus anthracis,all,Quast,GC (%),>=,35.04,
Bacillus anthracis,all,Quast,Ns per 100 kbp,<=,1000,
Bacillus anthracis,all,Quast,Total length (>= 0 bp),<=,5800000,
Bacillus anthracis,all,Quast,Total length (>= 0 bp),>=,5100000,
Bacillus anthracis,all,Speciator,confidence,regex,^good$,
Bacillus anthracis,all,Speciator,genusName,regex,^Bacillus,
Bacillus anthracis,all,Speciator,speciesName,regex,^Bacillus anthracis,species_field
Bacillus anthracis,all,Sylph,number_of_genomes,=,1,
Bacillus anthracis,all,Sylph,species_name,regex,^Bacillus anthracis,species_field
Bacillus anthracis,short,Ariba,percent,=,100,
Bacillus anthracis,short,Checkm,# contigs,<=,740,
Bacillus anthracis,short,Checkm,N50 (scaffolds),>=,15000,
Bacillus anthracis,short,Quast,# contigs (>= 0 bp),<=,740,
Bacillus anthracis,short,Quast,N50,>=,15000,
Bacillus subtilis,all,Checkm,Completeness,>=,92,
Bacillus subtilis,all,Checkm,Contamination,<=,16,
Bacillus subtilis,all,Checkm,GC,<=,44.1,
Bacillus subtilis,all,Checkm,GC,>=,42.87,
Bacillus subtilis,all,Checkm,Genome size (bp),<=,4800000,
Bacillus subtilis,all,Checkm,Genome size (bp),>=,3600000,
Bacillus subtilis,all,Checkm,Marker lineage,regex,^Bacillus subtilis,species_field
Bacillus subtilis,all,Quast,GC (%),<=,44.1,
Bacillus subtilis,all,Quast,GC (%),>=,42.87,
Bacillus subtilis,all,Quast,Ns per 100 kbp,<=,1000,
Bacillus subtilis,all,Quast,Total length (>= 0 bp),<=,4800000,
Bacillus subtilis,all,Quast,Total length (>= 0 bp),>=,3600000,
Bacillus subtilis,all,Speciator,confidence,regex,^good$,
Bacillus subtilis,all,Speciator,genusName,regex,^Bacillus,
Bacillus subtilis,all,Speciator,speciesName,regex,^Bacillus subtilis,species_field
Bacillus subtilis,all,Sylph,number_of_genomes,=,1,
Bacillus subtilis,all,Sylph,species_name,regex,^Bacillus subtilis,species_field
Bacillus subtilis,short,Ariba,percent,=,100,
Bacillus subtilis,short,Checkm,# contigs,<=,200,
Bacillus subtilis,short,Checkm,N50 (scaffolds),>=,49000,
Bacillus subtilis,short,Quast,# contigs (>= 0 bp),<=,200,
Bacillus subtilis,short,Quast,N50,>=,49000,
Bacteroides fragilis,all,Checkm,Completeness,>=,95,
Bacteroides fragilis,all,Checkm,Contamination,<=,6,
Bacteroides fragilis,all,Checkm,GC,<=,43.85,
Bacteroides fragilis,all,Checkm,GC,>=,43.05,
Bacteroides fragilis,all,Checkm,Genome size (bp),<=,5800000,
Bacteroides fragilis,all,Checkm,Genome size (bp),>=,4800000,
Bacteroides fragilis,all,Checkm,Marker lineage,regex,^Bacteroides fragilis,species_field
Bacteroides fragilis,all,Quast,GC (%),<=,43.85,
Bacteroides fragilis,all,Quast,GC (%),>=,43.05,
Bacteroides fragilis,all,Quast,Ns per 100 kbp,<=,1000,
Bacteroides fragilis,all,Quast,Total length (>= 0 bp),<=,5800000,
Bacteroides fragilis,all,Quast,Total length (>= 0 bp),>=,4800000,
Bacteroides fragilis,all,Speciator,confidence,regex,^good$,
Bacteroides fragilis,all,Speciator,genusName,regex,^Bacteroides,
Bacteroides fragilis,all,Speciator,speciesName,regex,^Bacteroides fragilis,species_field
Bacteroides fragilis,all,Sylph,number_of_genomes,=,1,
Bacteroides fragilis,all,Sylph,species_name,regex,^Bacteroides fragilis,species_field
Bacteroides fragilis,short,Ariba,percent,=,100,
Bacteroides fragilis,short,Checkm,# contigs,<=,490,
Bacteroides fragilis,short,Checkm,N50 (scaffolds),>=,23000,
Bacteroides fragilis,short,Quast,# contigs (>= 0 bp),<=,490,
Bacteroides fragilis,short,Quast,N50,>=,23000,
Bacteroides uniformis,all,Checkm,Completeness,>=,91,
Bacteroides uniformis,all,Checkm,Contamination,<=,9,
Bacteroides uniformis,all,Checkm,GC,<=,46.79,
